idx,norm,trento_p,sigma_k,nucleon_width,dmin3,tau_R,alpha,eta_over_s_T_kink_in_GeV,eta_over_s_low_T_slope_in_GeV,eta_over_s_high_T_slope_in_GeV,eta_over_s_at_kink,zeta_over_s_max,zeta_over_s_T_peak_in_GeV,zeta_over_s_width_in_GeV,zeta_over_s_lambda_asymm,shear_relax_time_factor,Tswitch
126,17.33635,0.02437,1.36029,1.00936,2.22928,0.92762,-0.00607,0.20114,-0.65158,-0.77330,0.17090,0.15915,0.16547,0.10743,-0.52681,6.15509,0.13174
127,13.83784,-0.11636,0.48358,0.92519,4.63134,1.08146,-0.25097,0.26463,0.23916,1.47727,0.15553,0.11813,0.28046,0.02919,0.71610,3.92191,0.14246
128,15.83777,0.23247,1.06481,0.99969,4.55518,0.95759,-0.19147,0.26587,0.17253,1.97122,0.15387,0.12611,0.18565,0.08447,0.05433,7.25424,0.13288
129,14.80161,-0.09403,1.09878,1.42563,2.19417,1.01991,0.22125,0.26344,-0.09517,1.21395,0.10943,0.08967,0.25352,0.02999,0.18556,7.68816,0.15106
130,12.86818,0.13678,1.00294,1.29933,2.29242,1.17709,-0.09646,0.18131,0.24746,-0.40211,0.04606,0.01833,0.13248,0.03994,-0.07552,2.46801,0.15327
131,19.17884,-0.34322,0.80683,1.04682,2.64072,0.41778,-0.15848,0.26765,-1.41903,0.05350,0.03619,0.04880,0.18746,0.06666,0.56677,6.52132,0.14521
132,13.18617,-0.04465,1.10899,0.60202,4.38664,0.99840,-0.19282,0.21434,-0.53578,-0.65777,0.10569,0.15050,0.28655,0.10648,0.45664,3.68818,0.16433
133,14.36843,-0.45080,0.55083,0.73223,0.65064,1.58255,-0.27558,0.17357,-0.37669,-0.07695,0.08728,0.13945,0.16806,0.08047,-0.35531,7.61940,0.14141
134,13.31453,0.45208,0.75225,0.64305,4.00908,1.49755,-0.03073,0.23515,0.28977,0.25897,0.16052,0.09307,0.28326,0.11175,-0.46774,4.71409,0.13852
135,13.48300,-0.38558,1.36422,1.28933,1.53783,1.74027,-0.12037,0.14084,-0.89000,-0.86951,0.08065,0.12684,0.26106,0.08249,0.74869,6.79440,0.15784
136,14.20058,-0.31425,0.92892,1.07417,4.20226,0.90860,-0.01082,0.27619,-1.42912,-0.52336,0.02027,0.13416,0.27961,0.10868,0.13199,4.31161,0.13098
137,12.84520,0.65587,0.35139,1.14155,4.35489,1.46883,-0.13478,0.14268,0.38389,0.84359,0.07310,0.10328,0.17497,0.10251,-0.01929,4.39988,0.14786
138,18.39423,0.41247,1.08867,1.43159,1.74221,1.64553,-0.08388,0.28091,-1.06839,-0.50283,0.06279,0.10765,0.16030,0.06211,0.72695,7.01444,0.14705
139,13.45149,-0.15265,1.40202,0.66562,4.54392,0.60193,0.15905,0.21189,-1.71402,0.73246,0.07863,0.19324,0.18940,0.13216,0.01044,7.29563,0.15857
140,18.40531,0.17554,1.98016,0.87430,1.17255,1.65123,-0.18012,0.19084,-0.41903,0.10426,0.09460,0.05815,0.13693,0.08730,-0.20729,2.88334,0.14932
141,13.20433,-0.58095,1.12259,0.77207,0.98269,0.77375,0.00266,0.16194,0.94179,0.39025,0.14573,0.04399,0.22865,0.13805,0.64142,2.63664,0.16207
142,14.04000,-0.36186,1.15812,1.01535,4.33762,0.74932,-0.13176,0.15763,-1.44690,0.42055,0.08850,0.13736,0.13759,0.09210,0.35843,2.75673,0.14169
